89,3
30,21
100,24
58,8
82,8
66,18
95,17
107,7
95,21
105,21
56,29
40,26
118,6
100,7
104,1
38,10
77,27
114,22
107,20
97,20
4,15
57,24
11,16
88,18
59,19
102,22
26,15
83,13
115,2
55,30
17,22
2,11
61,19
102,28
13,4
42,11
70,11
29,8
67,22
10,12
95,16
4,20
81,8
86,26
26,13
88,4
112,2
2,26
78,8
41,28
26,14
105,27
63,3
10,25
66,21
22,29
90,25
46,30
72,11
114,7
120,3
59,30
96,19
15,29
88,23
85,30
118,29
17,3
67,4
78,4
4,14
25,3
74,30
26,29
33,12
103,9
80,10
75,22
115,23
66,12
57,13
15,12
83,12
106,15
4,13
90,24
61,23
23,27
26,24
81,6
68,4
2,21
61,8
16,16
23,29
23,1
53,3
21,26
72,17
91,17
65,27
32,11
7,10
101,29
34,8
18,24
76,10
81,18
34,24
49,1
94,14
54,26
69,19
99,11
7,18
112,11
57,6
